,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,error,error_binary
541,Cognitive Team Diversity and Individual Team Member Creativity_ A Cross-Level Interaction,16.9,17.17,-84.91,11.02,18.3,22.0,6.48,1.0,1.0
542,Collective Memory Meets Organizational Identity_ Remembering to Forget in a Firm's Rhetorical History,15.9,16.48,-58.51,10.71,17.3,20.75,6.67,0.0,0.0
543,Competitor Analysis and Foothold Moves,15.3,15.43,-67.99,10.85,16.7,11.142857142857142,6.45,0.0,0.0
544,Contemplation and Conversation_ Subtle Influences on Moral Decision Making,16.5,16.66,-78.37,11.61,18.8,15.0,6.53,0.0,0.0
545,Cross-Domain Identity Transition during Liminal Periods_ Constructing Multiple Selves as Professional and Mother during Pregnancy,16.6,14.16,-65.41,12.58,18.0,21.5,6.35,0.0,0.0
546,"Different Hats, Different Obligations_ Plural Occupational Identities and Situated Moral Judgments",17.0,17.12,-86.63,12.08,18.8,12.142857142857142,6.87,0.0,0.0
547,Dynamically Integrating Knowledge in Teams_ Transforming Resources into Performance,16.0,16.77,-76.95,10.93,18.1,13.166666666666666,6.39,0.0,0.0
548,Embedding Ethical Leadership within and across Organization Levels,18.3,16.37,-81.52,12.51,19.6,7.199999999999999,6.44,0.0,0.0
549,"Expatriate Knowledge Transfer, Subsidiary Absorptive Capacity, and Subsidiary Performance",16.1,16.71,-70.12,11.11,18.7,20.75,6.18,0.0,0.0
550,Faking It or Muddling Through_ Understanding Decoupling in Response to Stakeholder Pressures,17.0,17.4,-85.51,11.76,18.5,13.833333333333334,6.85,0.0,0.0
551,Flexible Work Practices_ A Source of Career Premiums or Penalties_,16.2,15.32,-70.32,11.23,17.7,16.6,6.16,0.0,0.0
552,Fools Breaking Out_ The Role of Symbolic and Material Immunity in Explaining Institutional Nonconformity,17.3,15.67,-81.72,12.82,19.1,20.75,6.62,0.0,0.0
553,From Common to Uncommon Knowledge_ Foundations of Firm-Specific Use of Knowledge as a Resource,16.5,16.08,-72.65,12.34,19.0,23.666666666666668,6.44,0.0,0.0
554,From Practice to Field_ A Multilevel Model of Practice-Driven Institutional Change,17.6,17.29,-90.18,13.31,20.5,26.0,6.91,0.0,0.0
555,Generalizing Newcomers' Relational and Organizational Identifications_ Processes and Prototypicality,16.1,17.58,-91.23,9.77,17.9,11.25,6.14,0.0,0.0
556,How Does Human Resource Management Influence Organizational Outcomes_ A Meta-analytic Investigation of Mediating Mechanisms,15.1,17.17,-89.31,8.83,16.8,17.0,5.93,0.0,0.0
557,Industry Divestiture Waves_ How a Firm's Position Influences Investor Returns,17.0,16.37,-71.23,11.63,18.8,16.0,6.29,0.0,0.0
558,Jules or Jim_ Alternative Conformity to Minority Logics,18.0,16.54,-74.79,13.89,20.5,28.666666666666668,7.03,0.0,0.0
559,Justice in Self-Managing Teams_ The Role of Social Networks in the Emergence of Procedural Justice Climates,16.8,17.24,-79.39,11.9,19.3,14.6,6.45,0.0,0.0
560,Leader-Follower Congruence in Proactive Personality and Work Outcomes_ The Mediating Role of Leader-Member Exchange,16.3,16.19,-77.46,11.1,18.0,28.0,6.32,0.0,0.0
561,"Leading with Meaning_ Beneficiary Contact, Prosocial Impact, and the Performance Effects of Transformational Leadership",17.0,17.52,-85.92,11.45,19.2,16.4,6.56,0.0,0.0
562,"Learning Sequences_ Their Existence, Effect, and Evolution",15.3,16.08,-61.45,11.19,17.8,12.166666666666666,6.26,0.0,0.0
563,Managing the Message_ The Effects of Firm Actions and Industry Spillovers on Media Coverage Following Wrongdoing,15.7,15.2,-67.78,10.62,16.6,13.333333333333334,6.37,0.0,0.0
564,Manifestations of Higher-Order Routines_ The Underlying Mechanisms of Deliberate Learning in the Context of Postacquisition Integration,16.7,16.13,-71.74,12.48,19.0,21.0,6.72,0.0,0.0
565,"Modeling How to Grow_ An Inductive Examination of Humble Leader Behaviors, Contingencies, and Outcomes",16.3,15.84,-78.37,11.38,17.8,19.0,6.4,0.0,0.0
566,No Place Like Home_ An Identity Strain Perspective on Repatriate Turnover,16.3,16.19,-75.94,10.45,17.2,10.25,6.26,0.0,0.0
567,Offsetting Illegitimacy_ How Pressures from Securities Analysts Influence Incumbents in the Face of New Technologies,17.4,17.12,-71.74,12.09,19.6,20.75,6.47,0.0,0.0
568,Organizing Thoughts and Connecting Brains_ Material Practices and the Transition from Individual to Group-Level Prospective Sensemaking,18.5,17.71,-84.46,14.0,21.9,40.0,6.78,0.0,0.0
569,"Political Pluralism, Public Policies, and Organizational Choices_ Banking Branch Expansion in India, 1948–2003",17.4,16.66,-78.78,11.96,18.5,38.5,6.71,0.0,0.0
570,Psychological Antecedents of Promotive and Prohibitive Voice_ A Two-Wave Examination,17.3,16.66,-80.81,12.53,19.6,20.25,6.56,0.0,0.0
571,Putting Creativity to Work_ The Implementation of Creative Ideas in Organizations,18.0,16.54,-82.33,13.06,20.3,20.0,6.62,0.0,0.0
572,Reconsidering Pay Dispersion's Effect on the Performance of Interdependent Work_ Reconciling Sorting and Pay Inequality,17.3,15.96,-72.96,12.76,19.4,16.6,6.57,0.0,0.0
573,Resources for Change_ the Relationships of Organizational Inducements and Psychological Resilience to Employees' Attitudes and Behaviors toward Organizational Change,16.5,16.59,-86.43,11.13,18.5,28.0,6.26,0.0,0.0
574,Reversal of Strategic Change,16.8,15.9,-79.9,12.34,18.4,12.833333333333334,6.65,0.0,0.0
575,"Stigmatized Categories and Public Disapproval of Organizations_ A Mixed-Methods Study of the Global Arms Industry, 1996–2007",17.3,16.13,-72.25,12.76,19.0,21.75,6.84,0.0,0.0
576,Striving for Self-Verification during Organizational Entry,16.3,16.36,-86.43,11.47,18.4,14.6,6.46,0.0,0.0
577,"Team Member Change, Flux in Coordination, and Performance_ Effects of Strategic Core Roles, Information Transfer, and Cognitive Ability",14.9,14.74,-74.82,9.99,15.6,11.666666666666666,6.2,0.0,0.0
578,Technology-Market Combinations and the Identification of Entrepreneurial Opportunities_ An Investigation of the Opportunity-Individual Nexus,16.8,17.41,-78.88,11.29,19.3,21.0,6.2,0.0,0.0
579,The Dark Side of Leadership_ A Three-Level Investigation of the Cascading Effect of Abusive Supervision on Employee Creativity,17.7,17.7,-88.76,12.2,20.3,27.666666666666668,6.49,0.0,0.0
580,The Positive Externalities of Social Capital_ Benefiting from Senior Brokers,15.9,14.63,-55.02,12.13,17.5,15.0,6.47,0.0,0.0
581,The Risks and Rewards of Speaking Up_ Managerial Responses to Employee Voice,16.3,14.97,-63.38,11.99,18.0,18.5,6.38,0.0,0.0
582,The Way You Make Me Feel and Behave_ Supervisor-Triggered Newcomer Affect and Approach-Avoidance Behavior,15.6,16.3,-82.37,9.76,16.7,17.0,6.24,0.0,0.0
583,Time for Me to Fly_ Predicting Director Exit at Large Firms,16.4,15.21,-70.12,11.28,17.2,19.5,6.28,0.0,0.0
584,Variations in R&D Investments of Family and Nonfamily Firms_ Behavioral Agency and Myopic Loss Aversion Perspectives,17.3,15.61,-64.09,12.45,18.8,13.666666666666666,6.55,0.0,0.0
585,Venturing into new territory_ Career experiences of corporate venture capital managers and practice variation,16.9,16.08,-72.65,12.47,19.1,25.333333333333332,6.52,0.0,0.0
586,Watchdog or Lapdog_ A Behavioral View of the Media as a Corporate Governance Mechanism,16.2,15.55,-60.24,11.04,17.0,15.6,6.38,0.0,0.0
587,When Employees Are Out of Step with Coworkers_ How Job Satisfaction Trajectory and Dispersion Influence Individual- and Unit-Level Voluntary Turnover,16.8,16.59,-77.76,11.16,18.4,14.5,6.37,0.0,0.0
588,Which Iron Cage_ Endo- and exoisomorphism in Corporate Venture Capital Programs,16.3,15.79,-78.68,11.98,17.8,20.0,6.69,0.0,0.0
589,"Who Displays Ethical Leadership, and Why Does It Matter_ An Examination of Antecedents and Consequences of Ethical Leadership",17.3,16.6,-87.04,11.4,18.7,14.166666666666666,6.34,0.0,0.0
590,A Dynamic Perspective on Affect and Creativity,15.9,14.97,-67.78,10.68,16.2,39.0,6.37,0.0,0.0
591,"A Multilevel Model of Team Goal Orientation, Information Exchange, and Creativity",17.3,16.6,-80.51,11.93,19.6,19.0,6.35,0.0,0.0
592,Access Denied_ Low Mentoring of Women and Minority First-Time Directors and Its Negative Effects on Appointments to Additional Boards,17.7,15.9,-82.33,12.36,19.5,20.0,6.17,0.0,0.0
593,"Activists and Incumbents Structuring Change_ The Interplay of Agency, Culture, and Networks in Field Evolution",16.1,16.6,-70.52,11.93,18.7,28.333333333333332,6.65,0.0,0.0
594,Alumni Effects and Relational Advantage_ The Impact on Outsourcing When a Buyer Hires Employees from a Supplier's Competitors,17.5,16.13,-65.21,13.01,19.8,26.666666666666668,6.63,0.0,0.0
595,Anatomy of a Decision Trap in Complex New Product Development Projects,14.8,13.29,-46.46,12.07,16.5,19.0,6.48,0.0,0.0
596,"Apprentice, Departure, and Demotion_ An Examination of the Three Types of CEO–Board Chair Separation",17.2,15.03,-56.95,12.99,18.9,26.0,6.69,0.0,0.0
597,Avoiding the Trap of Constant Connectivity_ When Congruent Frames Allow for Heterogeneous Practices,16.5,15.5,-64.4,12.56,18.6,27.0,6.58,0.0,0.0
598,Between You and Me_ Setting Work-Nonwork Boundaries in the Context of Workplace Relationships,15.2,15.03,-61.86,11.31,17.3,24.333333333333332,6.3,0.0,0.0
599,Bridging the Mutual Knowledge Gap_ Coordination and the Commercialization of University Science,17.1,16.83,-80.0,11.89,19.1,27.666666666666668,6.36,0.0,0.0
600,Building Positive Resources_ Effects of Positive Events and Positive Reflection on Work Stress and Health,16.1,15.67,-78.98,11.51,18.0,16.2,6.35,0.0,0.0
601,Business Groups as Information Resource_ An Investigation of Business Group Affiliation in the Indian Software Services Industry,17.2,16.48,-73.87,13.11,19.9,19.0,6.67,0.0,0.0
602,"Can Surgical Teams Ever Learn_ The Role of Coordination, Complexity, and Transitivity in Action Team Learning",16.5,15.15,-72.65,12.27,18.5,15.0,6.38,0.0,0.0
603,Changing Routines_ A Process Model of Vicarious Group Learning in Pharmaceutical R&D,15.2,14.63,-54.11,11.68,17.1,17.75,6.38,0.0,0.0
604,"Choice, Chance, and Unintended Consequences in Strategic Change_ A Process Understanding of the Rise and Fall of NorthCo Automotive",17.1,16.6,-65.01,13.43,19.9,15.8,6.95,0.0,0.0
605,Coerced Practice Implementation in Cases of Low Cultural Fit_ Cultural Change and Practice Adaptation During the Implementation of Six Sigma at 3M,18.0,16.31,-77.22,14.6,21.3,35.0,6.9,0.0,0.0
606,"Compliant Sinners, Obstinate Saints_ How Power and Self-Focus Determine the Effectiveness of Social Influences in Ethical Decision Making",18.3,16.77,-83.25,13.21,21.2,25.666666666666668,6.6,0.0,0.0
607,Corporate Control and the Speed of Strategic Business Unit Decision Making,17.4,17.24,-63.18,12.39,19.8,16.2,6.57,0.0,0.0
608,Corporate Social Responsibility and Shareholder Reaction_ The Environmental Awareness of Investors,17.6,16.31,-64.3,12.71,19.6,20.75,6.68,0.0,0.0
609,Cultural Diversity and Team Performance_ The Role of Team Member Goal Orientation,17.4,17.93,-87.65,11.75,20.0,22.75,6.49,0.0,0.0
610,Developing Trust with Peers and Leaders_ Impacts on Organizational Identification and Performance during Entry,17.3,16.48,-80.71,12.4,19.3,15.6,6.51,0.0,0.0
611,Directive versus Empowering Leadership_ A Field Experiment Comparing Impacts on Task Proficiency and Proactivity,15.9,16.82,-82.88,10.03,17.1,16.8,6.29,0.0,0.0
612,Do They Walk the Talk_ Gauging Acquiring CEO and Director Confidence in the Value Creation Potential of Announced Acquisitions,16.7,17.0,-78.27,11.14,18.7,11.571428571428571,6.28,0.0,0.0
613,Emotion Helping by Managers_ An Emergent Understanding of Discrepant Role Expectations and Outcomes,15.9,15.32,-69.91,11.52,17.3,14.6,6.47,0.0,0.0
614,Examining the Differential Longitudinal Performance of Directive versus Empowering Leadership in Teams,17.2,15.9,-80.51,12.15,18.9,14.666666666666666,6.41,0.0,0.0
615,Executive Stock Options as Mixed Gambles_ Revisiting the Behavioral Agency Model,15.2,14.92,-53.4,11.58,17.2,15.8,6.43,0.0,0.0
616,Finding Meaning through Volunteering_ Why Do Employees Volunteer and What Does It Mean for Their Jobs_,16.0,15.95,-67.68,10.49,17.1,14.6,6.29,0.0,0.0
617,From Bench to Board_ Gender Differences in University Scientists' Participation in Corporate Scientific Advisory Boards,16.8,15.44,-71.94,12.54,18.3,16.8,6.74,0.0,0.0
618,"Getting What You Need_ How Reputation and Status Affect Team Performance, Hiring, and Salaries in the NBA",16.7,14.52,-50.62,13.25,19.3,23.0,6.39,0.0,0.0
619,Giving Sense to and Making Sense of Justice in Postmerger Integration,17.2,15.5,-72.86,12.49,18.7,26.333333333333332,6.43,0.0,0.0
620,Impact of Information Technology Capital on Firm Scope and Performance_ The Role of Asset Characteristics,17.9,16.71,-72.05,11.76,19.5,21.0,6.11,0.0,0.0
621,"Information Exposure, Opportunity Evaluation, and Entrepreneurial Action_ An Investigation of an Online User Community",17.5,18.16,-87.65,11.97,19.9,28.666666666666668,6.61,0.0,0.0
622,Inside the Hybrid Organization_ Selective Coupling as a Response to Competing Institutional Logics,17.1,16.25,-81.22,12.6,19.2,27.0,6.58,0.0,0.0
623,"Institutional Polycentrism, Entrepreneurs' Social Networks, and New Venture Growth",16.1,17.87,-86.02,11.14,19.5,10.714285714285714,6.48,0.0,0.0
624,Is This How I Will Be Treated_ Reducing Uncertainty through Recruitment Interactions,16.6,17.64,-84.19,10.42,18.3,8.0,6.3,0.0,0.0
625,Leviathan as a Minority Shareholder_ Firm-Level Implications of State Equity Purchases,16.6,16.02,-70.83,11.89,18.3,13.166666666666666,6.62,0.0,0.0
626,Looking Backward Instead of Forward_ Aspiration-Driven Influences on the Efficiency of the Capital Allocation Process,18.2,17.93,-73.16,12.91,21.0,17.4,6.67,0.0,0.0
627,Lords of the Harvest_ Third-Party Influence and Regulatory Approval of Genetically Modified Organisms,16.9,16.89,-70.22,12.14,18.6,17.2,6.86,0.0,0.0
628,Making the Most of Structural Support_ Moderating Influence of Employees' Clarity and Negative Affect,16.8,16.89,-73.47,12.74,20.4,24.333333333333332,6.6,0.0,0.0
629,Mitigating Principal-Agent Problems in Base-of-the-Pyramid Markets_ An Identity Spillover Perspective,17.7,16.6,-74.48,13.45,20.5,11.142857142857142,6.85,0.0,0.0
630,Moments of Truth_ Examining Transient Authenticity and Identity in Service Encounters,16.9,16.19,-78.98,11.74,18.2,20.5,6.46,0.0,0.0
631,Move to the Beat—Rhythms of Change and Firm Performance,15.1,15.78,-49.64,9.94,16.5,16.6,6.16,0.0,0.0
632,National Animosity and Cross-Border Alliances,16.5,16.77,-62.57,12.17,19.0,20.25,6.6,0.0,0.0
633,Navigating Paradox as a Mechanism of Change and Innovation in Hybrid Organizations,16.3,15.79,-71.23,12.29,18.1,17.4,6.71,0.0,0.0
634,On the Plasticity of Institutions_ Containing and Restoring Practice Breakdowns at the Cambridge University Boat Club,17.8,15.73,-79.05,15.21,21.6,25.666666666666668,6.95,0.0,0.0
635,"Organizational Sponsorship and Founding Environments_ A Contingency View on the Survival of Business-Incubated Firms, 1994–2007",16.6,17.87,-85.31,11.08,18.8,14.0,6.52,0.0,0.0
636,Organizing Processes and the Construction of Risk_ A Discursive Approach,17.4,16.48,-65.92,13.5,20.5,39.5,6.77,0.0,0.0
637,Power Source Mismatch and the Effectiveness of Interorganizational Relations_ The Case of Venture Capital Syndication,17.4,17.24,-73.36,13.2,20.8,37.5,7.0,0.0,0.0
638,"Power, Moral Clarity, and Punishment in the Workplace",15.7,15.03,-68.49,10.81,16.8,11.0,6.34,0.0,0.0
639,"Process Studies of Change in Organization and Management_ Unveiling Temporality, Activity, and Flow",17.2,16.13,-65.41,14.17,19.8,19.0,7.36,0.0,0.0
640,Rekindling the Flame_ Processes of Identity Resurrection,17.3,15.44,-66.22,13.66,19.6,16.6,6.97,0.0,0.0
641,Rocking the Boat but Keeping It Steady_ The Role of Emotion Regulation in Employee Voice,15.3,16.36,-74.92,10.29,17.0,15.2,6.4,0.0,0.0
642,Self-Love's Lost Labor_ A Self-Enhancement Model of Workplace Incivility,16.3,16.3,-76.34,11.05,17.6,19.75,6.51,0.0,0.0
643,Shoot for the Stars_ Predicting the Recruitment of Prestigious Directors at Newly Public Firms,16.0,14.97,-61.05,11.0,17.1,15.6,6.27,0.0,0.0
644,Signals across Multiple Networks_ How Venture Capital and Alliance Networks Affect Interorganizational Collaboration,17.2,16.77,-57.56,13.39,20.7,18.75,6.76,0.0,0.0
645,Stakeholder Pressure on MNEs and the Transfer of Socially Irresponsible Practices to Subsidiaries,16.5,16.42,-62.98,12.42,19.0,14.8,6.74,0.0,0.0
646,"Support, Undermining, and Newcomer Socialization_ Fitting in During the First 90 Days",16.5,16.13,-77.26,11.03,17.7,27.333333333333332,6.41,0.0,0.0
647,The Benefits of Climate for Inclusion for Gender-Diverse Groups,15.4,16.19,-75.02,10.52,16.9,20.0,6.46,0.0,0.0
648,The Competitive Implications of Certifications_ The Effects of Scientific and Regulatory Certifications on Entries into New Technical Fields,18.0,16.54,-74.48,13.28,20.4,16.6,6.68,0.0,0.0
649,The Costs of Ambient Cultural Disharmony_ Indirect Intercultural Conflicts in Social Environment Undermine Creativity,16.7,16.3,-86.22,10.83,18.1,17.0,6.16,0.0,0.0
650,The Double-Edged Sword of Decentralized Planning in Multiteam Systems,16.8,17.76,-87.34,11.74,19.8,9.0,6.62,0.0,0.0
651,The Downfall of Extraverts and Rise of Neurotics_ The Dynamic Process of Status Allocation in Task Groups,15.1,15.43,-75.73,10.64,16.8,24.333333333333332,6.38,8.0,1.0
652,"The Process of Schema Emergence_ Assimilation, Deconstruction, Unitization and the Plurality of Analogies",17.2,16.25,-54.62,12.4,18.6,13.0,6.65,0.0,0.0
653,The Psychological Processes of Cultural Retooling,19.1,16.78,-87.41,14.81,22.4,16.4,6.76,0.0,0.0
654,Top Management Attention to Innovation_ The Role of Search Selection and Intensity in New Product Introductions,17.1,17.47,-70.52,11.83,19.5,16.2,6.62,0.0,0.0
655,Values Work_ A Process Study of the Emergence and Performance of Organizational Values Practices,15.0,14.97,-69.1,11.3,16.9,17.5,6.5,0.0,0.0
656,Walking the Tightrope_ An Assessment of the Relationship between High-Performance Work Systems and Organizational Ambidexterity,16.0,16.07,-77.87,11.49,18.1,14.2,6.54,0.0,0.0
657,What Clients Don't Get about My Profession_ A Model of Perceived Role-Based Image Discrepancies,16.1,15.09,-72.45,12.36,18.3,14.6,6.52,0.0,0.0
658,What Matters When_ A Multistage Model and Empirical Examination of Job Search Effort,15.8,14.39,-56.04,12.4,18.0,12.833333333333334,6.42,1.0,1.0
659,When Does Voice Lead to Exit_ It Depends on Leadership,15.6,15.78,-68.09,10.66,17.2,13.333333333333334,6.29,0.0,0.0
660,When Power Makes Others Speechless_ The Negative Impact of Leader Power on Team Performance,16.4,14.68,-72.55,12.02,18.3,18.75,6.26,0.0,0.0
661,Wielding the Willow_ Processes of Institutional Change in English County Cricket,17.3,15.96,-67.44,14.03,20.6,15.2,6.92,0.0,0.0
662,Working Alone Together_ Coordination in Collaboration across Domains of Expertise,15.7,17.58,-84.09,11.05,17.8,13.166666666666666,6.7,0.0,0.0
663,"“I Care about Nature, but …”_ Disengaging Values in Assessing Opportunities that Cause Harm",16.2,16.94,-76.65,10.77,18.2,15.2,6.35,0.0,0.0
664,A (Blurry) Vision of the Future_ How Leader Rhetoric about Ultimate Goals Influences Performance,15.7,14.86,-62.67,11.81,17.5,18.0,6.46,0.0,0.0
665,A Social–Structural Perspective on Employee–Organization Relationships and Team Creativity,16.1,16.48,-83.79,10.33,17.2,17.6,6.29,0.0,0.0
666,Abusive Supervision and Retaliation_ A Self-Control Framework,17.9,17.99,-87.24,11.6,20.0,14.5,6.43,0.0,0.0
667,Abusive Supervision Climate_ A Multiple-Mediation Model of its Impact on Group Outcomes,15.3,16.88,-90.42,9.29,17.1,14.8,6.09,0.0,0.0
668,Antecedents of Individuals' Interteam Coordination_ Broad Functional Experiences as a Mixed Blessing,16.6,18.51,-92.25,10.41,19.0,17.2,6.34,0.0,0.0
669,Audience Heterogeneity and the Effectiveness of Market Signals_ How to Overcome Liabilities of Foreignness in Film Exports_,17.8,16.54,-65.62,12.93,20.3,27.0,6.54,0.0,0.0
670,"Bridging Yesterday, Today, and Tomorrow_ CEO Temporal Focus, Environmental Dynamism, and Rate of New Product Introduction",16.2,15.95,-60.34,11.18,17.7,24.0,6.47,0.0,0.0
671,CEO Career Variety_ Effects on Firm-Level Strategic and Social Novelty,15.4,16.07,-75.13,10.53,16.8,20.0,6.49,0.0,0.0
672,CEO Ideology as an Element of the Corporate Opportunity Structure for Social Activists,16.3,15.79,-70.73,12.0,18.1,16.4,6.65,0.0,0.0
673,"Competitive Parity, Status Disparity, and Mutual Forbearance_ Securities Analysts' Competition for Investor Attention",17.7,15.96,-72.05,12.34,18.7,12.714285714285714,6.58,0.0,0.0
674,Conscience without Cognition_ The Effects of Subconscious Priming on Ethical Behavior,18.5,17.06,-82.54,12.98,20.8,13.666666666666666,6.53,0.0,0.0
675,Corporate Governance and Investors' Perceptions of Foreign IPO Value_ An Institutional Perspective,16.9,16.31,-80.71,12.39,19.1,16.8,6.57,0.0,0.0
676,Courage as Identity Work_ Accounts of Workplace Courage,16.2,15.03,-72.35,12.23,18.0,12.5,6.46,0.0,0.0
677,Do Interviewers Sell Themselves Short_ The Effects of Selling Orientation on Interviewers' Judgments,18.0,16.89,-82.54,12.67,20.8,16.0,6.34,0.0,0.0
678,Do Ties Really Bind_ The Effect of Knowledge and Commercialization Networks on Opposition to Standards,17.6,17.47,-83.35,13.91,21.4,27.666666666666668,6.94,0.0,0.0
679,Dynamic Decision Making_ A Model of Senior Leaders Managing Strategic Paradoxes,15.4,16.82,-84.3,10.1,17.6,17.0,6.1,0.0,0.0
680,Eliciting Acceptance For “Illicit” Organizations_ The Positive Implications of Stigma for MMA Organizations,16.7,15.38,-65.21,12.72,18.9,14.0,6.52,0.0,0.0
681,Executive Departures Without Client Losses_ The Role of Multiplex Ties in Exchange Partner Retention,16.7,16.25,-62.57,11.61,18.4,16.4,6.3,0.0,0.0
682,Exploring the Locus of Invention_ The Dynamics of Network Communities and Firms' Invention Productivity,16.3,15.79,-71.64,11.84,18.4,25.666666666666668,6.3,0.0,0.0
683,Falling from Great (and Not-So-Great) Heights_ How Initial Status Position Influences Performance after Status Loss,16.3,15.73,-79.49,11.68,18.5,26.0,6.35,0.0,0.0
684,FDI Spillovers Over Time in an Emerging Market_ The Roles of Entry Tenure and Barriers to Imitation,16.5,14.74,-58.37,13.23,19.3,23.0,6.44,0.0,0.0
685,"Framing Controversial Actions_ Regulatory Focus, Source Credibility, and Stock Market Reaction to Poison Pill Adoption",16.0,15.67,-62.27,11.66,17.9,20.5,6.41,0.0,0.0
686,Friends and Foes_ The Dynamics of Dual Social Structures,16.7,16.37,-63.38,12.24,19.0,19.0,6.47,0.0,0.0
687,From Support to Mutiny_ Shifting Legitimacy Judgments and Emotional Reactions Impacting the Implementation of Radical Change,17.5,15.32,-75.9,13.92,20.1,15.2,6.78,0.0,0.0
688,Front-Stage and Backstage Convening_ The Transition from Opposition to Mutualistic Coexistence in Organizational Philanthropy,17.2,15.79,-82.23,13.15,19.4,21.25,6.72,0.0,0.0
689,How Directors' Prior Experience with Other Demographically Similar CEOs Affects Their Appointments onto Corporate Boards and the Consequences for CEO Compensation,17.1,15.9,-62.37,11.46,18.2,12.333333333333334,6.21,0.0,0.0
690,"How Do Social Defenses Work_ A Resource-Dependence Lens on Technology Ventures, Venture Capital Investors, and Corporate Relationships",17.0,16.13,-65.21,12.96,19.7,12.5,6.59,0.0,0.0
691,How Firms Respond to Financial Restatement_ CEO Successors and External Reactions,17.1,15.15,-72.05,12.17,18.2,21.25,6.48,0.0,0.0
692,How Organizations Foster the Creative Use of Resources,16.0,14.92,-72.15,11.9,18.0,26.0,6.31,0.0,0.0
693,"Human Capital Flows_ Using Context-Emergent Turnover (CET) Theory to Explore the Process by Which Turnover, Hiring, and Job Demands Affect Patient Satisfaction",16.0,15.96,-78.27,11.53,17.9,18.25,6.44,0.0,0.0
694,Hybrid Vigor_ Securing Venture Capital by Spanning Categories in Nanotechnology,16.4,16.25,-70.32,11.65,18.3,21.5,6.52,0.0,0.0
695,"Interpersonal Trust within Negotiations_ Meta-Analytic Evidence, Critical Contingencies, and Directions for Future Research",15.6,16.24,-74.82,10.25,16.7,11.714285714285714,6.34,0.0,0.0
696,It's Not Easy Being Green_ The Role of Self-Evaluations in Explaining Support of Environmental Issues,16.3,15.38,-81.11,12.36,18.6,16.6,6.48,0.0,0.0
697,It's Not Fair … Or Is It_ The Role of Justice and Leadership in Explaining Work Stressor–Job Performance Relationships,15.8,16.94,-92.86,10.45,17.9,16.2,6.22,0.0,0.0
698,It's What You Make of It_ Founder Identity and Enacting Strategic Responses to Adversity,16.8,14.75,-59.08,13.81,19.4,19.25,6.75,0.0,0.0
699,Job Titles as Identity Badges_ How Self-Reflective Titles Can Reduce Emotional Exhaustion,16.7,15.5,-72.96,12.75,18.9,11.428571428571429,6.71,2.0,1.0
700,"Knowledge Networks, Collaboration Networks, and Exploratory Innovation",16.0,16.42,-54.72,11.83,18.8,18.0,6.33,0.0,0.0
701,Let's Dance! Elastic Coordination in Creative Group Work_ A Qualitative Study of Modern Dancers,15.3,15.26,-61.05,11.15,17.1,11.666666666666666,6.4,0.0,0.0
702,Lunch Breaks Unpacked_ The Role of Autonomy as a Moderator of Recovery during Lunch,16.3,15.26,-78.17,11.41,17.2,15.4,6.51,0.0,0.0
703,"Making the Most of Where You Are_ Geography, Networks, and Innovation in Organizations",16.4,16.66,-70.52,11.75,18.6,19.5,6.51,0.0,0.0
704,Managers and Analysts_ An Examination of Mutual Influence,16.6,16.6,-61.25,11.35,18.1,17.8,6.41,0.0,0.0
705,"Managing to Stay in the Dark_ Managerial Self-Efficacy, Ego Defensiveness, and the Aversion to Employee Voice",16.7,16.25,-70.52,11.68,18.5,16.0,6.43,1.0,1.0
706,Newcomers Abroad_ Expatriate Adaptation during Early Phases of International Assignments,17.4,17.53,-79.49,11.88,19.9,22.25,6.44,0.0,0.0
707,"No Pain, No Gain_ An Affect-Based Model of Developmental Job Experience and the Buffering Effects of Emotional Intelligence",16.5,16.71,-84.8,10.59,17.9,27.333333333333332,6.25,0.0,0.0
708,Nothing Succeeds Like Moderation_ A Social Self-Regulation Perspective on Cultural Dissimilarity and Performance,17.9,16.89,-81.22,12.33,20.1,18.4,6.39,0.0,0.0
709,On Melting Summits_ The Limitations of Field-Configuring Events as Catalysts of Change in Transnational Climate Policy,17.6,16.31,-84.06,13.79,20.8,19.5,6.85,0.0,0.0
710,Power to the Principals! An Experimental Look at Shareholder Say-On-Pay Voting,15.7,14.56,-60.95,11.08,16.6,14.5,6.3,0.0,0.0
711,Relational Pluralism in De Novo Organizations_ Boards of Directors as Bridges or Barriers to Diverse Alliance Portfolios_,15.5,15.72,-68.49,10.7,17.2,15.6,6.25,0.0,0.0
712,Relational Pluralism Within and Between Organizations,17.5,17.06,-88.15,12.7,19.2,27.0,7.03,0.0,0.0
713,Reputation and Decision Making under Ambiguity_ A Study of U.S. Venture Capital Firms' Investments in the Emerging Clean Energy Sector,16.0,15.67,-61.15,11.18,17.6,15.6,6.36,0.0,0.0
714,Servant Leadership and Serving Culture_ Influence on Individual and Unit Performance,16.5,16.31,-69.61,11.41,18.1,14.8,6.42,0.0,0.0
715,Should I Quit My Day Job__ A Hybrid Path to Entrepreneurship,15.9,16.59,-60.84,11.19,18.5,24.666666666666668,6.37,0.0,0.0
716,Signaling in Secret_ Pay for Performance and the Incentive and Sorting Effects of Pay Secrecy,18.3,16.42,-73.36,12.56,19.9,21.0,6.35,0.0,0.0
