,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,lexicon_count,sentence_count
541,Cognitive Team Diversity and Individual Team Member Creativity_ A Cross-Level Interaction,18.4,17.58,12.67,12.95,19.7,22.0,6.85,6939,282
542,Collective Memory Meets Organizational Identity_ Remembering to Forget in a Firm's Rhetorical History,17.3,16.13,21.74,12.78,18.2,20.75,7.06,11181,466
543,Competitor Analysis and Foothold Moves,15.8,15.09,30.7,12.1,17.0,11.142857142857142,6.63,9170,391
544,Contemplation and Conversation_ Subtle Influences on Moral Decision Making,17.4,17.18,21.74,12.37,19.1,15.0,6.68,9039,376
545,Cross-Domain Identity Transition during Liminal Periods_ Constructing Multiple Selves as Professional and Mother during Pregnancy,16.7,13.76,35.31,12.85,17.7,21.5,6.35,14642,537
546,"Different Hats, Different Obligations_ Plural Occupational Identities and Situated Moral Judgments",18.0,17.47,13.17,13.17,19.3,12.142857142857142,7.13,8255,342
547,Dynamically Integrating Knowledge in Teams_ Transforming Resources into Performance,17.3,16.66,19.81,13.09,19.5,13.166666666666666,6.76,10329,399
548,Embedding Ethical Leadership within and across Organization Levels,18.8,16.48,18.89,13.06,19.8,7.199999999999999,6.54,12367,462
549,"Expatriate Knowledge Transfer, Subsidiary Absorptive Capacity, and Subsidiary Performance",16.1,16.94,23.56,11.14,18.1,20.75,6.28,9683,437
550,Faking It or Muddling Through_ Understanding Decoupling in Response to Stakeholder Pressures,17.2,17.0,24.17,12.05,17.8,13.833333333333334,6.93,8849,409
551,Flexible Work Practices_ A Source of Career Premiums or Penalties_,17.0,15.38,29.38,12.02,18.0,16.6,6.25,10385,419
552,Fools Breaking Out_ The Role of Symbolic and Material Immunity in Explaining Institutional Nonconformity,18.3,15.44,24.41,14.47,20.2,20.75,6.86,13773,463
553,From Common to Uncommon Knowledge_ Foundations of Firm-Specific Use of Knowledge as a Resource,17.1,15.56,33.48,13.92,19.9,23.666666666666668,6.67,15076,518
554,From Practice to Field_ A Multilevel Model of Practice-Driven Institutional Change,18.2,17.0,17.17,14.66,21.0,26.0,7.23,14740,517
555,Generalizing Newcomers' Relational and Organizational Identifications_ Processes and Prototypicality,17.8,18.34,6.34,11.78,19.3,11.25,6.56,11594,516
556,How Does Human Resource Management Influence Organizational Outcomes_ A Meta-analytic Investigation of Mediating Mechanisms,18.0,17.76,12.77,12.36,19.7,16.8,6.5,8096,331
557,Industry Divestiture Waves_ How a Firm's Position Influences Investor Returns,18.6,16.02,25.02,13.9,20.3,16.0,6.61,10038,345
558,Jules or Jim_ Alternative Conformity to Minority Logics,18.9,16.43,14.93,15.37,21.4,28.333333333333332,7.24,10639,347
559,Justice in Self-Managing Teams_ The Role of Social Networks in the Emergence of Procedural Justice Climates,18.2,17.41,17.88,13.8,21.0,14.6,6.74,9048,326
560,Leader-Follower Congruence in Proactive Personality and Work Outcomes_ The Mediating Role of Leader-Member Exchange,17.5,16.31,20.01,12.99,19.2,28.0,6.67,8160,317
561,"Leading with Meaning_ Beneficiary Contact, Prosocial Impact, and the Performance Effects of Transformational Leadership",18.9,18.28,10.13,14.07,21.5,16.4,7.02,7866,290
562,"Learning Sequences_ Their Existence, Effect, and Evolution",15.2,15.38,30.4,11.76,17.4,11.833333333333334,6.4,12211,514
563,Managing the Message_ The Effects of Firm Actions and Industry Spillovers on Media Coverage Following Wrongdoing,18.2,15.21,25.02,14.22,19.6,13.166666666666666,6.81,10498,361
564,Manifestations of Higher-Order Routines_ The Underlying Mechanisms of Deliberate Learning in the Context of Postacquisition Integration,18.5,15.68,22.89,15.53,21.2,21.0,7.21,10922,350
565,"Modeling How to Grow_ An Inductive Examination of Humble Leader Behaviors, Contingencies, and Outcomes",18.5,15.33,22.18,15.24,21.2,19.0,6.88,15514,487
566,No Place Like Home_ An Identity Strain Perspective on Repatriate Turnover,17.6,16.77,22.45,12.13,18.3,10.25,6.63,9504,408
567,Offsetting Illegitimacy_ How Pressures from Securities Analysts Influence Incumbents in the Face of New Technologies,18.3,16.54,25.93,13.56,20.5,20.75,6.61,10697,379
568,Organizing Thoughts and Connecting Brains_ Material Practices and the Transition from Individual to Group-Level Prospective Sensemaking,19.3,17.59,14.63,15.13,22.5,40.0,6.99,12501,403
569,"Political Pluralism, Public Policies, and Organizational Choices_ Banking Branch Expansion in India, 1948–2003",17.8,16.13,21.53,12.62,18.1,38.5,6.84,8387,346
570,Psychological Antecedents of Promotive and Prohibitive Voice_ A Two-Wave Examination,18.6,17.18,16.46,14.42,21.3,19.75,6.86,9737,334
571,Putting Creativity to Work_ The Implementation of Creative Ideas in Organizations,19.6,16.89,13.41,15.52,22.5,20.0,6.98,8980,279
572,Reconsidering Pay Dispersion's Effect on the Performance of Interdependent Work_ Reconciling Sorting and Pay Inequality,18.0,15.62,25.32,14.18,20.1,16.6,6.78,11332,393
573,Resources for Change_ the Relationships of Organizational Inducements and Psychological Resilience to Employees' Attitudes and Behaviors toward Organizational Change,18.9,17.18,16.15,14.19,21.5,28.0,6.68,10156,344
574,Reversal of Strategic Change,16.3,15.26,31.01,12.27,16.9,12.833333333333334,6.78,11319,488
575,"Stigmatized Categories and Public Disapproval of Organizations_ A Mixed-Methods Study of the Global Arms Industry, 1996–2007",17.5,15.79,28.57,13.22,18.6,21.75,6.95,12395,485
576,Striving for Self-Verification during Organizational Entry,17.4,16.6,19.71,13.24,19.7,14.2,6.76,9682,373
577,"Team Member Change, Flux in Coordination, and Performance_ Effects of Strategic Core Roles, Information Transfer, and Cognitive Ability",16.6,14.8,29.08,12.75,17.5,11.666666666666666,6.65,10987,438
578,Technology-Market Combinations and the Identification of Entrepreneurial Opportunities_ An Investigation of the Opportunity-Individual Nexus,19.1,18.23,7.9,14.0,22.2,21.0,6.62,12964,442
579,The Dark Side of Leadership_ A Three-Level Investigation of the Cascading Effect of Abusive Supervision on Employee Creativity,19.3,18.4,8.3,14.21,22.2,27.666666666666668,6.8,9994,346
580,The Positive Externalities of Social Capital_ Benefiting from Senior Brokers,15.8,14.05,37.44,12.38,17.1,15.0,6.48,11113,441
581,The Risks and Rewards of Speaking Up_ Managerial Responses to Employee Voice,17.0,15.03,27.86,12.88,18.3,18.5,6.53,12274,466
582,The Way You Make Me Feel and Behave_ Supervisor-Triggered Newcomer Affect and Approach-Avoidance Behavior,16.9,16.36,24.68,11.19,17.2,17.0,6.52,9977,472
583,Time for Me to Fly_ Predicting Director Exit at Large Firms,17.3,14.74,28.57,12.56,17.6,19.5,6.47,13181,515
584,Variations in R&D Investments of Family and Nonfamily Firms_ Behavioral Agency and Myopic Loss Aversion Perspectives,18.3,15.44,25.53,13.97,19.6,13.666666666666666,6.79,10022,350
585,Venturing into new territory_ Career experiences of corporate venture capital managers and practice variation,17.3,15.44,26.64,13.47,19.3,25.333333333333332,6.66,11646,423
586,Watchdog or Lapdog_ A Behavioral View of the Media as a Corporate Governance Mechanism,17.5,15.26,28.06,13.13,18.3,15.6,6.71,9402,360
587,When Employees Are Out of Step with Coworkers_ How Job Satisfaction Trajectory and Dispersion Influence Individual- and Unit-Level Voluntary Turnover,18.7,16.89,18.08,13.68,20.6,14.5,6.77,9323,338
588,Which Iron Cage_ Endo- and exoisomorphism in Corporate Venture Capital Programs,15.9,15.08,32.43,11.71,16.4,20.0,6.74,9440,433
589,"Who Displays Ethical Leadership, and Why Does It Matter_ An Examination of Antecedents and Consequences of Ethical Leadership",18.4,16.95,21.13,12.34,19.2,14.166666666666666,6.54,8747,355
590,A Dynamic Perspective on Affect and Creativity,16.5,14.74,31.82,11.62,16.1,26.0,6.49,8571,383
591,"A Multilevel Model of Team Goal Orientation, Information Exchange, and Creativity",16.7,15.84,31.11,11.31,17.5,19.0,6.2,10740,464
592,Access Denied_ Low Mentoring of Women and Minority First-Time Directors and Its Negative Effects on Appointments to Additional Boards,19.4,16.31,22.38,14.67,21.8,20.0,6.52,12258,387
593,"Activists and Incumbents Structuring Change_ The Interplay of Agency, Culture, and Networks in Field Evolution",16.8,16.31,28.17,13.35,19.3,28.333333333333332,6.94,12911,497
594,Alumni Effects and Relational Advantage_ The Impact on Outsourcing When a Buyer Hires Employees from a Supplier's Competitors,19.2,15.91,21.16,15.82,22.1,26.666666666666668,7.04,11112,338
595,Anatomy of a Decision Trap in Complex New Product Development Projects,14.1,12.54,47.32,11.87,15.0,19.0,6.5,12053,507
596,"Apprentice, Departure, and Demotion_ An Examination of the Three Types of CEO–Board Chair Separation",16.7,14.05,37.44,12.54,16.9,26.0,6.56,9775,388
597,Avoiding the Trap of Constant Connectivity_ When Congruent Frames Allow for Heterogeneous Practices,16.1,14.57,37.84,12.26,17.2,27.0,6.49,13513,544
598,Between You and Me_ Setting Work-Nonwork Boundaries in the Context of Workplace Relationships,17.2,14.92,31.35,14.78,20.5,18.0,6.76,12646,405
599,Bridging the Mutual Knowledge Gap_ Coordination and the Commercialization of University Science,17.4,16.25,20.42,12.43,18.7,27.666666666666668,6.44,13242,524
600,Building Positive Resources_ Effects of Positive Events and Positive Reflection on Work Stress and Health,16.9,15.79,28.27,12.8,18.9,16.2,6.61,10814,418
601,Business Groups as Information Resource_ An Investigation of Business Group Affiliation in the Indian Software Services Industry,17.1,16.13,27.96,13.15,19.1,19.0,6.73,10968,419
602,"Can Surgical Teams Ever Learn_ The Role of Coordination, Complexity, and Transitivity in Action Team Learning",17.6,15.21,24.11,14.3,20.1,15.0,6.67,12650,421
603,Changing Routines_ A Process Model of Vicarious Group Learning in Pharmaceutical R&D,15.6,14.05,36.73,12.66,17.3,17.75,6.55,13477,521
604,"Choice, Chance, and Unintended Consequences in Strategic Change_ A Process Understanding of the Rise and Fall of NorthCo Automotive",17.6,15.84,25.73,14.64,20.0,15.6,7.2,11919,420
605,Coerced Practice Implementation in Cases of Low Cultural Fit_ Cultural Change and Practice Adaptation During the Implementation of Six Sigma at 3M,18.4,15.79,21.97,15.72,21.5,35.0,7.12,13259,413
606,"Compliant Sinners, Obstinate Saints_ How Power and Self-Focus Determine the Effectiveness of Social Influences in Ethical Decision Making",18.2,15.96,19.3,12.83,19.3,25.666666666666668,6.44,10895,413
607,Corporate Control and the Speed of Strategic Business Unit Decision Making,18.4,16.71,18.49,13.89,20.2,16.2,6.89,12441,458
608,Corporate Social Responsibility and Shareholder Reaction_ The Environmental Awareness of Investors,16.9,15.26,30.7,12.05,17.4,20.75,6.57,7661,326
609,Cultural Diversity and Team Performance_ The Role of Team Member Goal Orientation,17.6,16.89,21.23,12.33,18.9,22.75,6.52,8469,346
610,Developing Trust with Peers and Leaders_ Impacts on Organizational Identification and Performance during Entry,17.8,16.48,27.56,13.18,19.8,15.6,6.64,10097,379
611,Directive versus Empowering Leadership_ A Field Experiment Comparing Impacts on Task Proficiency and Proactivity,18.2,17.24,20.72,13.04,19.5,16.8,6.86,9454,378
612,Do They Walk the Talk_ Gauging Acquiring CEO and Director Confidence in the Value Creation Potential of Announced Acquisitions,18.0,16.83,27.25,13.06,20.2,11.571428571428571,6.55,9913,368
613,Emotion Helping by Managers_ An Emergent Understanding of Discrepant Role Expectations and Outcomes,16.6,14.68,28.47,12.88,17.8,14.6,6.65,12192,475
614,Examining the Differential Longitudinal Performance of Directive versus Empowering Leadership in Teams,19.0,16.31,23.39,14.87,21.3,14.666666666666666,6.85,10753,350
615,Executive Stock Options as Mixed Gambles_ Revisiting the Behavioral Agency Model,16.1,14.52,33.88,13.98,18.9,15.8,6.77,10268,358
616,Finding Meaning through Volunteering_ Why Do Employees Volunteer and What Does It Mean for Their Jobs_,17.1,16.13,22.65,11.75,17.7,14.6,6.51,10218,443
617,From Bench to Board_ Gender Differences in University Scientists' Participation in Corporate Scientific Advisory Boards,17.6,14.86,26.24,14.11,19.0,16.8,7.03,11825,424
618,"Getting What You Need_ How Reputation and Status Affect Team Performance, Hiring, and Salaries in the NBA",17.0,14.23,32.77,13.76,19.3,23.0,6.43,11831,397
619,Giving Sense to and Making Sense of Justice in Postmerger Integration,16.8,14.92,29.79,12.1,17.3,26.333333333333332,6.39,14647,600
620,Impact of Information Technology Capital on Firm Scope and Performance_ The Role of Asset Characteristics,18.7,16.02,18.59,12.74,19.6,21.0,6.21,10361,382
621,"Information Exposure, Opportunity Evaluation, and Entrepreneurial Action_ An Investigation of an Online User Community",18.2,18.05,12.56,12.8,20.0,28.666666666666668,6.84,10225,414
622,Inside the Hybrid Organization_ Selective Coupling as a Response to Competing Institutional Logics,17.3,15.79,27.96,13.11,18.8,27.0,6.71,12638,483
623,"Institutional Polycentrism, Entrepreneurs' Social Networks, and New Venture Growth",16.7,17.87,22.55,12.23,19.1,10.714285714285714,6.8,9421,406
624,Is This How I Will Be Treated_ Reducing Uncertainty through Recruitment Interactions,18.8,18.45,11.96,12.95,20.6,8.0,6.76,8822,349
625,Leviathan as a Minority Shareholder_ Firm-Level Implications of State Equity Purchases,17.5,15.61,27.66,13.27,18.9,13.166666666666666,6.85,10994,415
626,Looking Backward Instead of Forward_ Aspiration-Driven Influences on the Efficiency of the Capital Allocation Process,19.7,18.34,15.34,15.02,22.7,17.4,7.04,9451,312
627,Lords of the Harvest_ Third-Party Influence and Regulatory Approval of Genetically Modified Organisms,18.4,16.42,17.78,14.46,20.2,17.2,7.26,9414,337
628,Making the Most of Structural Support_ Moderating Influence of Employees' Clarity and Negative Affect,17.0,15.67,25.63,13.7,19.9,24.333333333333332,6.65,12194,428
629,Mitigating Principal-Agent Problems in Base-of-the-Pyramid Markets_ An Identity Spillover Perspective,18.1,15.33,23.8,14.74,20.3,11.142857142857142,6.86,11321,374
630,Moments of Truth_ Examining Transient Authenticity and Identity in Service Encounters,17.5,16.08,20.72,12.59,18.5,20.5,6.63,12046,482
631,Move to the Beat—Rhythms of Change and Firm Performance,15.8,15.66,33.54,10.84,16.3,16.4,6.36,9980,481
632,National Animosity and Cross-Border Alliances,17.3,16.02,26.95,13.82,19.7,20.25,6.88,10873,400
633,Navigating Paradox as a Mechanism of Change and Innovation in Hybrid Organizations,16.2,15.32,30.2,12.48,17.4,17.8,6.78,12921,539
634,On the Plasticity of Institutions_ Containing and Restoring Practice Breakdowns at the Cambridge University Boat Club,17.6,15.5,31.75,15.01,20.7,25.666666666666668,6.96,13295,432
635,"Organizational Sponsorship and Founding Environments_ A Contingency View on the Survival of Business-Incubated Firms, 1994–2007",18.3,17.99,11.35,13.3,20.5,14.0,6.88,11972,463
636,Organizing Processes and the Construction of Risk_ A Discursive Approach,17.6,15.26,26.64,13.91,19.1,26.333333333333332,6.85,11339,412
637,Power Source Mismatch and the Effectiveness of Interorganizational Relations_ The Case of Venture Capital Syndication,18.6,15.68,21.67,15.88,21.8,37.5,7.22,8750,270
638,"Power, Moral Clarity, and Punishment in the Workplace",16.6,15.03,30.2,12.1,17.2,11.0,6.56,9954,415
639,"Process Studies of Change in Organization and Management_ Unveiling Temporality, Activity, and Flow",17.6,15.67,25.93,15.28,19.9,19.0,7.72,6154,218
640,Rekindling the Flame_ Processes of Identity Resurrection,17.7,15.33,25.12,14.48,19.7,16.6,7.13,13960,481
641,Rocking the Boat but Keeping It Steady_ The Role of Emotion Regulation in Employee Voice,17.7,16.77,27.15,13.96,20.1,15.2,7.08,8516,315
642,Self-Love's Lost Labor_ A Self-Enhancement Model of Workplace Incivility,18.2,16.42,19.4,13.64,19.6,19.75,6.94,7812,297
643,Shoot for the Stars_ Predicting the Recruitment of Prestigious Directors at Newly Public Firms,17.6,14.68,26.14,13.5,18.8,15.6,6.64,10173,363
644,Signals across Multiple Networks_ How Venture Capital and Alliance Networks Affect Interorganizational Collaboration,17.2,15.73,25.53,14.03,19.8,18.75,6.73,6602,231
645,Stakeholder Pressure on MNEs and the Transfer of Socially Irresponsible Practices to Subsidiaries,16.4,16.19,29.79,12.85,18.4,14.8,6.94,9333,382
646,"Support, Undermining, and Newcomer Socialization_ Fitting in During the First 90 Days",17.9,16.19,20.11,12.95,18.9,27.333333333333332,6.73,8634,337
647,The Benefits of Climate for Inclusion for Gender-Diverse Groups,18.8,16.6,14.53,15.74,21.8,20.0,7.24,8328,268
648,The Competitive Implications of Certifications_ The Effects of Scientific and Regulatory Certifications on Entries into New Technical Fields,18.9,16.55,15.85,14.48,21.0,16.6,6.88,12447,417
649,The Costs of Ambient Cultural Disharmony_ Indirect Intercultural Conflicts in Social Environment Undermine Creativity,17.4,16.95,22.14,11.67,18.5,17.0,6.34,13767,584
650,The Double-Edged Sword of Decentralized Planning in Multiteam Systems,17.6,16.83,19.91,13.11,19.6,9.0,6.78,9119,354
651,The Downfall of Extraverts and Rise of Neurotics_ The Dynamic Process of Status Allocation in Task Groups,17.1,15.9,27.66,13.6,19.2,24.333333333333332,6.88,7523,284
652,"The Process of Schema Emergence_ Assimilation, Deconstruction, Unitization and the Plurality of Analogies",17.4,15.79,29.59,12.76,18.0,13.0,6.76,9837,400
653,The Psychological Processes of Cultural Retooling,18.1,15.55,25.63,13.61,19.8,16.2,6.52,14396,505
654,Top Management Attention to Innovation_ The Role of Search Selection and Intensity in New Product Introductions,17.5,15.84,28.37,13.0,18.7,16.2,6.68,10491,407
655,Values Work_ A Process Study of the Emergence and Performance of Organizational Values Practices,15.3,14.63,38.45,12.46,17.0,17.5,6.7,14888,615
656,Walking the Tightrope_ An Assessment of the Relationship between High-Performance Work Systems and Organizational Ambidexterity,16.5,15.9,29.59,12.82,18.2,11.833333333333334,6.88,8201,334
657,What Clients Don't Get about My Profession_ A Model of Perceived Role-Based Image Discrepancies,16.3,14.8,36.63,12.83,18.1,14.6,6.62,14052,540
658,What Matters When_ A Multistage Model and Empirical Examination of Job Search Effort,15.8,14.16,36.22,12.84,17.7,12.833333333333334,6.5,11698,443
659,When Does Voice Lead to Exit_ It Depends on Leadership,17.4,15.55,26.24,13.73,19.6,13.333333333333334,6.73,10125,363
660,When Power Makes Others Speechless_ The Negative Impact of Leader Power on Team Performance,16.8,14.92,28.06,12.45,18.2,18.75,6.33,11655,446
661,Wielding the Willow_ Processes of Institutional Change in English County Cricket,17.6,16.14,24.61,14.73,20.6,15.2,7.12,11546,392
662,Working Alone Together_ Coordination in Collaboration across Domains of Expertise,16.0,17.35,24.98,11.67,17.6,15.8,6.85,10143,488
663,"“I Care about Nature, but …”_ Disengaging Values in Assessing Opportunities that Cause Harm",18.3,16.89,17.98,13.7,20.6,15.4,6.8,10402,375
664,A (Blurry) Vision of the Future_ How Leader Rhetoric about Ultimate Goals Influences Performance,16.4,13.93,34.29,13.66,18.4,18.0,6.69,13879,491
665,A Social–Structural Perspective on Employee–Organization Relationships and Team Creativity,18.0,16.95,20.72,12.77,19.4,17.6,6.7,8979,359
666,Abusive Supervision and Retaliation_ A Self-Control Framework,20.2,18.57,0.76,13.88,22.3,14.5,6.79,9575,342
667,Abusive Supervision Climate_ A Multiple-Mediation Model of its Impact on Group Outcomes,17.1,17.58,14.7,11.57,18.8,14.8,6.54,8996,398
668,Antecedents of Individuals' Interteam Coordination_ Broad Functional Experiences as a Mixed Blessing,18.8,19.61,4.71,12.71,21.1,17.2,6.81,10073,418
669,Audience Heterogeneity and the Effectiveness of Market Signals_ How to Overcome Liabilities of Foreignness in Film Exports_,19.7,16.55,20.15,15.81,23.2,27.0,6.86,10245,302
670,"Bridging Yesterday, Today, and Tomorrow_ CEO Temporal Focus, Environmental Dynamism, and Rate of New Product Introduction",17.6,15.5,27.66,13.55,18.9,23.666666666666668,6.9,10142,382
671,CEO Career Variety_ Effects on Firm-Level Strategic and Social Novelty,17.0,15.44,29.08,13.25,18.3,20.0,6.98,9550,380
672,CEO Ideology as an Element of the Corporate Opportunity Structure for Social Activists,17.4,15.26,26.85,13.9,19.1,16.4,7.0,10797,395
673,"Competitive Parity, Status Disparity, and Mutual Forbearance_ Securities Analysts' Competition for Investor Attention",18.3,15.5,27.45,13.23,18.9,12.714285714285714,6.71,11965,448
674,Conscience without Cognition_ The Effects of Subconscious Priming on Ethical Behavior,18.7,17.41,19.6,12.81,20.2,13.833333333333334,6.55,10219,391
675,Corporate Governance and Investors' Perceptions of Foreign IPO Value_ An Institutional Perspective,18.1,16.14,24.51,14.52,20.7,16.8,6.96,9986,337
676,Courage as Identity Work_ Accounts of Workplace Courage,16.2,14.63,37.54,12.34,17.4,12.5,6.49,16272,648
677,Do Interviewers Sell Themselves Short_ The Effects of Selling Orientation on Interviewers' Judgments,18.4,16.71,18.08,13.08,20.6,15.8,6.39,12326,446
678,Do Ties Really Bind_ The Effect of Knowledge and Commercialization Networks on Opposition to Standards,18.8,16.95,20.86,16.64,23.1,27.666666666666668,7.48,7734,233
679,Dynamic Decision Making_ A Model of Senior Leaders Managing Strategic Paradoxes,16.0,16.66,23.16,11.16,17.8,17.0,6.24,13765,609
680,Eliciting Acceptance For “Illicit” Organizations_ The Positive Implications of Stigma for MMA Organizations,17.4,15.15,24.61,13.99,19.8,14.0,6.63,12829,435
681,Executive Departures Without Client Losses_ The Role of Multiplex Ties in Exchange Partner Retention,17.9,15.67,26.03,13.48,19.7,16.4,6.52,10662,380
682,Exploring the Locus of Invention_ The Dynamics of Network Communities and Firms' Invention Productivity,17.2,15.09,26.14,13.45,19.2,25.666666666666668,6.52,14347,513
683,Falling from Great (and Not-So-Great) Heights_ How Initial Status Position Influences Performance after Status Loss,17.5,15.73,27.25,13.02,19.3,26.0,6.53,11623,432
684,FDI Spillovers Over Time in an Emerging Market_ The Roles of Entry Tenure and Barriers to Imitation,16.2,14.34,35.61,12.95,18.2,23.0,6.46,9677,358
685,"Framing Controversial Actions_ Regulatory Focus, Source Credibility, and Stock Market Reaction to Poison Pill Adoption",18.0,15.15,21.57,15.49,21.2,20.5,6.94,11533,355
686,Friends and Foes_ The Dynamics of Dual Social Structures,17.7,15.97,25.32,14.12,20.1,19.0,6.77,14919,518
687,From Support to Mutiny_ Shifting Legitimacy Judgments and Emotional Reactions Impacting the Implementation of Radical Change,18.2,15.1,22.18,15.43,21.0,15.2,7.03,16975,532
688,Front-Stage and Backstage Convening_ The Transition from Opposition to Mutualistic Coexistence in Organizational Philanthropy,17.1,15.03,27.76,13.31,18.3,21.25,6.8,13672,518
689,How Directors' Prior Experience with Other Demographically Similar CEOs Affects Their Appointments onto Corporate Boards and the Consequences for CEO Compensation,19.3,15.62,22.79,14.59,21.0,12.333333333333334,6.55,9474,303
690,"How Do Social Defenses Work_ A Resource-Dependence Lens on Technology Ventures, Venture Capital Investors, and Corporate Relationships",17.3,15.44,25.73,13.93,19.7,12.5,6.74,11978,422
691,How Firms Respond to Financial Restatement_ CEO Successors and External Reactions,18.7,15.27,24.41,14.42,20.0,21.25,6.82,10739,361
692,How Organizations Foster the Creative Use of Resources,16.7,14.39,34.39,13.29,18.7,26.0,6.48,15155,538
693,"Human Capital Flows_ Using Context-Emergent Turnover (CET) Theory to Explore the Process by Which Turnover, Hiring, and Job Demands Affect Patient Satisfaction",16.7,15.21,28.17,13.15,18.4,18.25,6.7,10418,401
694,Hybrid Vigor_ Securing Venture Capital by Spanning Categories in Nanotechnology,16.8,15.38,29.18,12.58,18.0,21.5,6.68,11256,451
695,"Interpersonal Trust within Negotiations_ Meta-Analytic Evidence, Critical Contingencies, and Directions for Future Research",17.0,16.08,22.24,12.27,18.0,11.714285714285714,6.67,9208,391
696,It's Not Easy Being Green_ The Role of Self-Evaluations in Explaining Support of Environmental Issues,16.9,14.86,25.63,13.78,19.3,16.6,6.72,14198,498
697,It's Not Fair … Or Is It_ The Role of Justice and Leadership in Explaining Work Stressor–Job Performance Relationships,18.5,17.7,17.57,14.11,21.4,15.8,6.87,9323,332
698,It's What You Make of It_ Founder Identity and Enacting Strategic Responses to Adversity,17.2,13.94,31.25,14.97,19.7,19.25,6.92,13840,442
699,Job Titles as Identity Badges_ How Self-Reflective Titles Can Reduce Emotional Exhaustion,18.2,15.27,22.48,15.24,21.1,11.428571428571429,7.04,13098,414
700,"Knowledge Networks, Collaboration Networks, and Exploratory Innovation",15.6,16.02,30.6,11.64,17.8,18.0,6.32,11375,483
701,Let's Dance! Elastic Coordination in Creative Group Work_ A Qualitative Study of Modern Dancers,15.8,14.45,36.73,12.75,17.8,11.666666666666666,6.63,14115,545
702,Lunch Breaks Unpacked_ The Role of Autonomy as a Moderator of Recovery during Lunch,17.4,14.74,28.47,12.96,17.9,15.4,6.77,8571,333
703,"Making the Most of Where You Are_ Geography, Networks, and Innovation in Organizations",16.6,16.25,22.34,12.02,17.9,19.5,6.59,13270,568
704,Managers and Analysts_ An Examination of Mutual Influence,16.3,15.78,32.53,11.2,16.9,17.8,6.43,10741,496
705,"Managing to Stay in the Dark_ Managerial Self-Efficacy, Ego Defensiveness, and the Aversion to Employee Voice",18.0,15.73,17.57,13.81,20.0,10.571428571428571,6.72,10423,371
706,Newcomers Abroad_ Expatriate Adaptation during Early Phases of International Assignments,18.6,17.87,18.79,13.55,21.0,22.25,6.8,8386,312
707,"No Pain, No Gain_ An Affect-Based Model of Developmental Job Experience and the Buffering Effects of Emotional Intelligence",18.9,17.06,17.88,13.75,20.9,27.333333333333332,6.74,10036,361
708,Nothing Succeeds Like Moderation_ A Social Self-Regulation Perspective on Cultural Dissimilarity and Performance,19.7,17.42,6.47,14.66,22.3,18.6,6.74,11672,380
709,On Melting Summits_ The Limitations of Field-Configuring Events as Catalysts of Change in Transnational Climate Policy,18.3,15.97,22.89,15.12,21.3,19.5,7.1,13534,434
710,Power to the Principals! An Experimental Look at Shareholder Say-On-Pay Voting,16.1,14.22,38.25,12.08,16.8,14.5,6.45,10896,447
711,Relational Pluralism in De Novo Organizations_ Boards of Directors as Bridges or Barriers to Diverse Alliance Portfolios_,16.0,14.97,30.4,11.88,17.1,15.6,6.44,10369,435
712,Relational Pluralism Within and Between Organizations,18.3,16.6,18.99,14.0,19.8,27.0,7.28,5830,218
713,Reputation and Decision Making under Ambiguity_ A Study of U.S. Venture Capital Firms' Investments in the Emerging Clean Energy Sector,18.2,15.15,23.5,14.77,20.3,15.6,6.88,11437,374
714,Servant Leadership and Serving Culture_ Influence on Individual and Unit Performance,17.9,15.79,26.74,13.72,19.7,14.8,6.81,9497,346
715,Should I Quit My Day Job__ A Hybrid Path to Entrepreneurship,16.9,16.89,20.92,12.58,19.3,24.666666666666668,6.65,10122,408
716,Signaling in Secret_ Pay for Performance and the Incentive and Sorting Effects of Pay Secrecy,20.7,16.43,11.79,15.85,23.0,21.0,6.79,12852,380
717,Social Exchange Implications of Own and CoWorkers' Experiences of Supervisory Abuse,17.4,15.61,27.35,13.44,19.1,19.25,6.74,8616,321
718,Structural Power Equality between Family and Non-Family TMT Members and the Performance of Family Firms,18.2,16.48,18.79,13.4,20.0,13.166666666666666,6.74,11011,409
719,Substitutes or Complements_ A Configurational Examination of Corporate Governance Mechanisms,18.9,14.86,21.67,14.95,21.1,14.5,6.54,12506,386
720,The Catalyst Effect_ The Impact of Transactive Memory System Structure on Team Performance,17.3,15.55,28.17,13.16,18.5,20.75,6.76,8588,330
721,The Impact of Social Context on the Relationship Between Individual Job Satisfaction and Absenteeism_ The Roles of Different Foci of Job Satisfaction and Work-Unit Absenteeism,19.4,17.36,14.33,14.64,22.6,80.0,6.59,12267,392
722,The Influence of Social Position on Sensemaking about Organizational Change,18.7,15.68,20.96,15.58,22.1,26.0,6.82,13649,412
723,The Relational Ecology of Identification_ How Organizational Identification Emerges When Individuals Hold Divergent Values,17.0,15.79,29.79,12.03,18.0,14.0,6.39,13563,556
724,The Riddle of Heterarchy_ Power Transitions in Cross-Functional Teams,17.5,14.92,23.7,14.54,20.0,14.0,6.69,12695,417
725,The Stigma of Affirmative Action_ A Stereotyping-Based Theory and Meta-Analytic Test of the Consequences for Performance,16.9,15.84,28.77,12.13,18.7,14.6,6.23,10823,426
